id,url,title,author,brew_method,style_name,boil_time,batch_size,boil_size,boil_gravity,efficiency,hop_utilization_multiplier,original_gravity,final_gravity,abv_standard,ibu_tinseth,srm_morey,mash_ph,yeast_name,yeast_starter,yeast_form,yeast_attenuation,yeast_flocculation,yeast_optimum_temp,yeast_fermentation_temp,yeast_pitch_rate,water_profile_name,water_ca2,water_mg2,water_na,water_cl,water_so4,water_hco3,priming_method,priming_co2_level,error
1000001,https://www.brewersfriend.com/homebrew/recipe/view/1000001/loira-belga-dos-maltes,Loira Belga dos Maltes,,Extract,Belgian Blond Ale,60 min,19 liters (fermentor volume),25 liters,1.056,65% (steeping grains only),1.0,1.058,1.009,6.4,19.04,4.0,0.0,Mangrove Jack - Belgian Ale Yeast M41,No,Dry,85%,Medium,17.78 - 27.78 C,25 C,0.35 (M cells / ml / deg P),Balanced Profile,76.0,3.0,48.0,106.0,50.0,0.0,,2.2 Volumes,
1000007,https://www.brewersfriend.com/homebrew/recipe/view/1000007/mild-ale,Mild Ale,,All Grain,Mild,60 min,22.5 liters (fermentor volume),28.43 liters,1.035,70% (brew house),1.0,1.044,1.011,4.41,16.8,23.38,0.0,Fermentis / Safale - English Ale Yeast S-04,No,Dry,75%,High,12.22 - 25 C,23 C,0.35 (M cells / ml / deg P),Balanced Profile,0.0,0.0,0.0,0.0,0.0,0.0,co2,2.2 Volumes,
1000008,https://www.brewersfriend.com/homebrew/recipe/view/1000008/leftovers-ipa,Leftovers IPA,,All Grain,American IPA,90 min,5.5 gallons (fermentor volume),9 gallons,1.051,75% (brew house),1.0,1.076,1.017,7.8,89.57,10.92,0.0,White Labs - California Ale Yeast WLP001,No,Liquid,76.5%,Medium,68 - 73 F,70 F,0.35 (M cells / ml / deg P),Balanced Profile,0.0,0.0,0.0,0.0,0.0,0.0,,2.25 Volumes,
1000003,https://www.brewersfriend.com/homebrew/recipe/view/1000003/tjomsens-juicymcjuiceface,Tjomsens JuicyMcJuiceFace,RT,All Grain,Specialty IPA: New England IPA,60 min,100 liters (fermentor volume),100 liters,1.051,70% (brew house),0.88,1.051,1.01,5.38,47.35,3.76,0.0,Fermentis / Safale - American Ale Yeast US-05,No,Dry,81%,Medium,12.22 - 25 C,20 C,0.35 (M cells / ml / deg P),Balanced Profile,0.0,0.0,0.0,0.0,0.0,0.0,,2.35 Volumes,
1000018,https://www.brewersfriend.com/homebrew/recipe/view/1000018/harvest-ipa,Harvest IPA,,BIAB,American IPA,60 min,6 gallons (fermentor volume),8.5 gallons,1.046,65% (brew house),1.0,1.065,1.013,6.79,71.8,8.15,0.0,Fermentis / Safale - American Ale Yeast US-05,Yes,Dry,80%,Medium,54 - 77 F,68 F,0.5 (M cells / ml / deg P),Balanced Profile,0.0,0.0,0.0,0.0,0.0,0.0,,2.25 Volumes,
1000017,https://www.brewersfriend.com/homebrew/recipe/view/1000017/saison-test,Saison test,,All Grain,Saison,45 min,3 liters (ending kettle volume),3 liters,1.05,65% (ending kettle),1.0,1.05,1.003,6.26,35.17,4.08,0.0,Lallemand - Belle Saison,No,Dry,95%,Low,15 - 35 C,,0.35 (M cells / ml / deg P),Balanced Profile,0.0,0.0,0.0,0.0,0.0,0.0,,2.2 Volumes,
1000009,https://www.brewersfriend.com/homebrew/recipe/view/1000009/awesome-recipe,Awesome Recipe,,BIAB,No Profile Selected,60 min,16 liters (fermentor volume),20 liters,1.016,75% (brew house),1.0,1.02,1.005,1.99,0.0,2.92,0.0,,,,,,,,,Balanced Profile,0.0,0.0,0.0,0.0,0.0,0.0,,,
1000010,https://www.brewersfriend.com/homebrew/recipe/view/1000010/polaris-ipa,Polaris IPA,,BIAB,American IPA,70 min,17 liters (fermentor volume),24 liters,1.041,70% (brew house),1.0,1.057,1.01,6.16,61.74,10.11,0.0,Fermentis / Safale - American Ale Yeast US-05,No,Dry,81%,Medium,12.22 - 25 C,,0.35 (M cells / ml / deg P),Balanced Profile,0.0,0.0,0.0,0.0,0.0,0.0,co2,2.25 Volumes,
1000028,https://www.brewersfriend.com/homebrew/recipe/view/1000028/awesome-recipe,Awesome Recipe,,BIAB,American IPA,60 min,10 liters (fermentor volume),15 liters,1.037,70% (brew house),1.0,1.051,1.013,4.97,18.7,3.58,0.0,,,,,,,,,Balanced Profile,0.0,0.0,0.0,0.0,0.0,0.0,,2.25 Volumes,
1000024,https://www.brewersfriend.com/homebrew/recipe/view/1000024/belgian-single,Belgian Single,,All Grain,Trappist Single,60 min,5.5 gallons (fermentor volume),7 gallons,1.042,73% (brew house),1.0,1.052,1.011,5.33,31.42,4.32,5.26,Imperial Yeast - B63 Monastic,Yes,Liquid,74%,Medium-low,68 - 78 F,,0.35 (M cells / ml / deg P),13105,27.0,4.0,21.0,35.0,4.0,52.0,co2,2.2 Volumes,
