id,url,title,author,brew_method,style_name,boil_time,batch_size,boil_size,boil_gravity,efficiency,hop_utilization_multiplier,original_gravity,final_gravity,abv_standard,ibu_tinseth,srm_morey,mash_ph,yeast_name,yeast_starter,yeast_form,yeast_attenuation,yeast_flocculation,yeast_optimum_temp,yeast_fermentation_temp,yeast_pitch_rate,water_profile_name,water_ca2,water_mg2,water_na,water_cl,water_so4,water_hco3,priming_method,priming_co2_level,error
1000008,https://www.brewersfriend.com/homebrew/recipe/view/1000008/leftovers-ipa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fetch: HTTP Error 403: Forbidden
1000007,https://www.brewersfriend.com/homebrew/recipe/view/1000007/mild-ale,Mild Ale,,All Grain,Mild,60 min,22.5 liters (fermentor volume),28.43 liters,1.035,70% (brew house),1.0,1.044,1.011,4.41,16.8,23.38,0.0,Fermentis / Safale - English Ale Yeast S-04,No,Dry,75%,High,12.22 - 25 C,23 C,0.35 (M cells / ml / deg P),Balanced Profile,0.0,0.0,0.0,0.0,0.0,0.0,co2,2.2 Volumes,
1000001,https://www.brewersfriend.com/homebrew/recipe/view/1000001/loira-belga-dos-maltes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fetch: HTTP Error 403: Forbidden
1000003,https://www.brewersfriend.com/homebrew/recipe/view/1000003/tjomsens-juicymcjuiceface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fetch: HTTP Error 403: Forbidden
1000018,https://www.brewersfriend.com/homebrew/recipe/view/1000018/harvest-ipa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fetch: HTTP Error 403: Forbidden
1000017,https://www.brewersfriend.com/homebrew/recipe/view/1000017/saison-test,Saison test,,All Grain,Saison,45 min,3 liters (ending kettle volume),3 liters,1.05,65% (ending kettle),1.0,1.05,1.003,6.26,35.17,4.08,0.0,Lallemand - Belle Saison,No,Dry,95%,Low,15 - 35 C,,0.35 (M cells / ml / deg P),Balanced Profile,0.0,0.0,0.0,0.0,0.0,0.0,,2.2 Volumes,
1000010,https://www.brewersfriend.com/homebrew/recipe/view/1000010/polaris-ipa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fetch: HTTP Error 403: Forbidden
1000009,https://www.brewersfriend.com/homebrew/recipe/view/1000009/awesome-recipe,Awesome Recipe,,BIAB,No Profile Selected,60 min,16 liters (fermentor volume),20 liters,1.016,75% (brew house),1.0,1.02,1.005,1.99,0.0,2.92,0.0,,,,,,,,,Balanced Profile,0.0,0.0,0.0,0.0,0.0,0.0,,,
1000028,https://www.brewersfriend.com/homebrew/recipe/view/1000028/awesome-recipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fetch: HTTP Error 403: Forbidden
1000024,https://www.brewersfriend.com/homebrew/recipe/view/1000024/belgian-single,Belgian Single,,All Grain,Trappist Single,60 min,5.5 gallons (fermentor volume),7 gallons,1.042,73% (brew house),1.0,1.052,1.011,5.33,31.42,4.32,5.26,Imperial Yeast - B63 Monastic,Yes,Liquid,74%,Medium-low,68 - 78 F,,0.35 (M cells / ml / deg P),13105,27.0,4.0,21.0,35.0,4.0,52.0,co2,2.2 Volumes,
1000041,https://www.brewersfriend.com/homebrew/recipe/view/1000041/warka1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fetch: HTTP Error 403: Forbidden
1000031,https://www.brewersfriend.com/homebrew/recipe/view/1000031/541jours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fetch: HTTP Error 403: Forbidden
1000046,https://www.brewersfriend.com/homebrew/recipe/view/1000046/trigo-nuevo,Trigo Nuevo,,All Grain,Witbier,60 min,20.8 liters (fermentor volume),11.4 liters,1.086,70% (brew house),1.0,1.047,1.011,4.68,9.13,3.54,0.0,,,,,,,,,Light colored and malty,60.0,5.0,10.0,95.0,55.0,0.0,,0 Volumes,
1000056,https://www.brewersfriend.com/homebrew/recipe/view/1000056/awesome-recipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fetch: HTTP Error 403: Forbidden
1000052,https://www.brewersfriend.com/homebrew/recipe/view/1000052/johannes-blond-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fetch: HTTP Error 403: Forbidden
1000054,https://www.brewersfriend.com/homebrew/recipe/view/1000054/awesome-recipe,Awesome Recipe,,Extract,No Profile Selected,60 min,5 gallons (fermentor volume),3.5 gallons,1.033,75% (steeping grains only),1.0,1.023,1.006,2.27,74.0,13.12,0.0,,,,,,,,,Balanced Profile,0.0,0.0,0.0,0.0,0.0,0.0,,,
1000061,https://www.brewersfriend.com/homebrew/recipe/view/1000061/wtf-alaskan-amber,WTF Alaskan Amber,,All Grain,American Amber Ale,60 min,18 gallons (fermentor volume),21 gallons,1.051,86% (brew house),1.0,1.056,1.013,5.6,30.88,12.1,5.49,Wyeast - German Ale 1007,No,Liquid,75%,Low,55 - 68 F,,0.35 (M cells / ml / deg P),Düsseldorf (Altbier),110.0,4.68,0.0,120.0,120.0,0.0,co2,2.52 Volumes,
1000057,https://www.brewersfriend.com/homebrew/recipe/view/1000057/daisy-cutter-hazy-ipa-idahaze-,Daisy Cutter Hazy IPA (Idahaze),30 MM Brewing,All Grain,Specialty IPA: New England IPA,60 min,10 gallons (fermentor volume),13 gallons,1.061,80% (brew house),1.0,1.069,1.013,7.36,67.55,4.39,0.0,Fermentis / Safale - American Ale Yeast US-05,No,Dry,81%,Medium,54 - 77 F,,0.35 (M cells / ml / deg P),Balanced Profile,0.0,0.0,0.0,0.0,0.0,0.0,co2,2.5 Volumes,
1000063,https://www.brewersfriend.com/homebrew/recipe/view/1000063/juicemaster-juicy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fetch: HTTP Error 403: Forbidden
1000058,https://www.brewersfriend.com/homebrew/recipe/view/1000058/mirror-milk-stout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fetch: HTTP Error 403: Forbidden
1000066,https://www.brewersfriend.com/homebrew/recipe/view/1000066/citra-mo-smash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fetch: HTTP Error 403: Forbidden
1000067,https://www.brewersfriend.com/homebrew/recipe/view/1000067/terrasi-s-pale-ale,Terrasi's Pale Ale,,All Grain,American Pale Ale,60 min,5.2 gallons (fermentor volume),6.8 gallons,1.041,75% (brew house),1.0,1.053,1.01,5.65,79.75,6.31,0.0,White Labs - San Diego Super Yeast WLP090,No,Liquid,79.5%,Med-High,65 - 68 F,,0.35 (M cells / ml / deg P),Balanced Profile,0.0,0.0,0.0,0.0,0.0,0.0,,2.45 Volumes,
1000069,https://www.brewersfriend.com/homebrew/recipe/view/1000069/empereur-imperatrice-nugget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fetch: HTTP Error 403: Forbidden
1000065,https://www.brewersfriend.com/homebrew/recipe/view/1000065/pale-ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fetch: HTTP Error 403: Forbidden
